		E-GEOD-11941	E-GEOD-12113	E-GEOD-29598	E-GEOD-32920	E-GEOD-48433	E-GEOD-48433	E-GEOD-48433	E-GEOD-48433	E-GEOD-57116	E-GEOD-57116	E-GEOD-60052	E-GEOD-63252	E-GEOD-63452	E-MTAB-3645	E-MTAB-6491	E-MTAB-6681	E-MTAB-6724	E-MTAB-6865	E-TABM-868
ENSG00000259062	ACTN1-AS1									-1.5	3.0	1.1		0.4				0.3	-4.1	
ENSG00000259065	AC005520.4					0.99	-0.9	-1.0	-0.3	-0.4	-0.2	-0.3	-0.6	-0.5			0.99	0.99	-0.9	0.99
ENSG00000259071	AL359397.2	-0.3	0.7			0.6	1.1	1.5	2.4				-0.2			-1.4				0.99
ENSG00000259073	FOXN3-AS2			0.7		0.99	-0.2	-0.3	-0.3	-0.7	-2.5	-0.2	-0.4	0.8		0.99			0.99	0.1
ENSG00000259078	PTBP1P									0.8	1.0	1.3		-0.3			-0.2		1.6	
ENSG00000259079	AC005476.1									-0.4	0.3	-0.1		-0.5			0.99		1.3	
ENSG00000259081	AF111169.3									-1.8	-3.7	0.1		0.99			-0.8	-0.8	-1.5	
ENSG00000259083	AL132639.3									0.2	3.0			1.1				0.1	-1.3	
ENSG00000259088	AL137779.2									-0.5	1.2			-0.3			0.99	-0.6	-0.9	
ENSG00000259096	SHLD2P2									-0.4	0.99	0.4		0.3			0.1		-1.5	
ENSG00000259097	AL163932.1																		-4.2	
ENSG00000259100	AL157791.1									-2.6	-3.0	-1.4		-0.5			-0.3	0.99	-1.2	
ENSG00000259102	SMARCE1P3									5.8	3.5	2.1								
ENSG00000259103	AF107885.2									-2.0	-3.8	0.5		1.1					0.99	
ENSG00000259104	PTCSC3											2.0								
ENSG00000259106	AC008056.2											2.3								
ENSG00000259110	LINC02304									3.4	0.99									
ENSG00000259116	AL049869.3	0.1				0.1	0.99	0.99	-0.2	-1.2	-0.1	0.3	0.99	-0.9			0.99		-3.5	0.99
ENSG00000259118	AL139022.1									-1.3	-1.5	-0.7		0.1				-0.7	-3.1	
ENSG00000259120	SMIM6	-0.6	-0.6			-0.6	-1.8	-1.8	-0.1	-3.2	-0.2	0.8	0.99	-0.6				-0.2	-1.1	0.2
ENSG00000259129	LINC00648					0.99	-0.3	0.99	-0.3	0.5	-0.2	2.1	0.99						0.99	0.2
ENSG00000259138	AL049780.2									0.4	-0.2	-0.1		0.99					-1.8	
ENSG00000259146	AC005476.2									-0.9	0.5	-0.2		-1.0			-0.5		-0.3	
ENSG00000259151	CAP2P1									-1.5	-3.1	-0.5		0.6					-0.9	
ENSG00000259153	AC004816.1									0.99	-1.3	2.5		0.3			0.99		2.3	
ENSG00000259155	AL591767.3									-2.0	-1.0	2.5		0.99					4.0	
ENSG00000259158	ADAM20P1									3.4	0.6	0.2		-2.0					-4.1	
ENSG00000259161	AL137779.3									-1.0	-2.7	0.7		-1.1					-1.1	
ENSG00000259162	AL355075.5									-1.3	-0.4	1.1						-1.0	0.99	
ENSG00000259163	AL096869.2					0.1	-0.2	0.1	0.2	-0.1	-1.1	0.9	-1.0	0.6		0.99				0.99
ENSG00000259165	DDX18P1									-2.9	-3.8	-0.3		-0.6				0.99	-2.9	
ENSG00000259172	AC023024.1									-1.2	0.3	0.5		0.5			-0.1	-0.3	-0.2	
ENSG00000259177	AC018946.1									-1.5	1.5	-1.1		0.2						
ENSG00000259191	AC027237.3									1.4	0.5	2.3		-0.2					0.99	
ENSG00000259192	AC109631.1									-1.3	1.3			-0.5				0.99	-1.4	
ENSG00000259195	AC021739.1									3.2	1.5	-0.2		0.99					0.99	
ENSG00000259201	AC090971.3									-1.0	-2.9	-0.9		-0.3					0.99	
ENSG00000259205	PRKXP1									-1.9	-1.9	1.1		0.99			0.99		-3.4	
ENSG00000259207	ITGB3			0.4	0.99	0.99	0.99	0.99	0.99	0.99	0.6	-0.7	-0.5	-0.7		2.2	0.5	-0.2	0.6	0.2
ENSG00000259209	AC004943.1									-1.7	-2.9	0.9		-0.7			0.1		-1.3	
ENSG00000259211	AC013356.2									-2.9	-3.4	-0.4		0.99				0.99	-1.0	
ENSG00000259212	AC103739.1									-0.1	-1.8	0.5		0.99					-0.4	
ENSG00000259215	AC027237.4									-1.0	2.6	2.4		0.99					0.99	
ENSG00000259216	AC084757.1									-1.5	-2.5	1.7		-1.6			-0.5		-0.7	
ENSG00000259218	LINC00928	-0.2				0.99	-0.2	-0.3	0.1			3.7	-1.1				0.99			
ENSG00000259219	AC084855.2											0.6							-3.0	
ENSG00000259224	SLC35G6									-3.4	0.6	0.7		-0.6				0.99	-0.4	
ENSG00000259230	LINC02323									-2.7	-2.7	1.2		0.3					0.99	
ENSG00000259235	AC066612.1									3.1	0.99	2.5							0.99	
ENSG00000259238	AC092755.2									0.6	1.6			0.1					-2.1	
ENSG00000259242	AC002306.1									-3.3	-1.7	0.1		0.99					0.8	
ENSG00000259248	USP3-AS1					-0.3	0.99	0.99	-0.1	-1.2	-3.0	-0.1	0.99	-0.6		0.99		-0.2	-4.1	-0.3
ENSG00000259250	AC018904.1									-0.7	-0.5	0.2		0.8			0.3	0.99	-3.3	
ENSG00000259252	AC026583.1									-4.5	0.4									
ENSG00000259254	AC022405.1									-2.7	-2.7	2.7							0.99	
ENSG00000259258	AC013553.1									-1.6	-3.1	0.4		0.99					0.99	
ENSG00000259275	AC087477.2		-0.2			-1.5	-0.4	-0.2	-0.2	-0.7	-1.4	0.2	-1.3	-0.2			-0.3			0.99
ENSG00000259276	AC087286.1									1.1	-1.9	-2.3		0.3					0.99	
ENSG00000259280	AC018563.2									-0.6	-2.3	0.7								
ENSG00000259281	LINGO1-AS2	-0.3				0.99	0.99	-0.1	0.99			3.4	-1.2							0.2
ENSG00000259284	LINC02349					0.99	0.99	0.99	0.99	3.1	0.99		0.99							0.99
ENSG00000259287	AC010809.1									-1.9	-2.9	0.8		0.5					-4.1	
ENSG00000259291	ZNF710-AS1	-0.7	-0.1	0.6		0.6	-1.1	-0.7	0.99	-0.1	-1.0	0.1	-0.7	-0.1		-0.7	-0.3	0.99	0.1	-0.7
ENSG00000259294	AC005096.1									-1.5	-1.1	0.8		-0.8					0.99	
ENSG00000259295	CSPG4P12									-1.3	-1.3	-0.8		0.6			-0.2		2.4	
ENSG00000259298	ENSG00000259298									-1.6	-2.7	-0.2		-0.9				0.99	-4.9	
ENSG00000259305	ZHX1-C8orf76									-0.6	-0.3			0.9				-0.2	1.0	
ENSG00000259306	AC020891.2					0.99	0.99	0.99	-0.7			2.5	-0.3						0.99	
ENSG00000259308	AC024270.1									-0.2	-0.5	0.3		0.7				0.99	-2.2	
ENSG00000259314	AC103739.2									-0.6	-3.1	-0.1		-1.0					-1.7	
ENSG00000259315	ACTG1P17					0.99	-0.1	0.99	0.99	-1.3	-1.1	-0.1	-0.6	-0.1		0.99		-0.1	-1.5	-0.6
ENSG00000259316	AC087632.2									-2.3	-1.2	0.2		0.99					0.99	
ENSG00000259318	AL356801.1									-2.0	-1.3	1.1		0.2				-0.5	-2.0	
ENSG00000259319	AF111167.2									-2.8	-2.2	0.4		-0.4			0.1	0.4	-1.2	
ENSG00000259326	AC116158.1	0.5				0.99	0.99	0.1	0.99	-1.7	-3.6	-0.1	0.99	0.1		0.99			-3.9	0.99
ENSG00000259330	INAFM2	0.3	-0.4			0.5	0.99	0.2	0.99	-1.1	0.2	-0.7	-0.4	1.1		-1.6	-0.1	-0.2	1.3	-1.3
ENSG00000259331	AC009432.1									3.9	0.99									
ENSG00000259343	TMC3-AS1	-0.3				0.3	-0.1	0.99	0.4	1.6	-0.3	-0.3	0.99	0.1		0.1			-1.9	0.99
ENSG00000259345	AC013652.1					0.99	-0.5	-0.3	-0.4	0.5	4.5	1.5	0.99	-0.7					0.99	0.2
ENSG00000259347	AC087482.1	1.4				0.99	0.2	0.3	0.2	-0.4	2.7	0.5	-1.0					0.99	0.8	
ENSG00000259349	AC011921.1									-3.3	1.4	3.1		-0.2			-0.1		0.1	
ENSG00000259351	AC015914.1		0.8			-0.1	-0.3	-0.3	-0.4			-1.9	0.99	0.99						0.5
ENSG00000259360	AC009558.1											3.7								
ENSG00000259364	AC013356.3									-2.6	-2.6	0.3		0.99				0.99	-1.7	
ENSG00000259367	AC087286.2									0.7	-2.6	-1.7		-0.2					0.99	
ENSG00000259369	AC009997.1																		-1.2	
ENSG00000259370	AC103740.1	-0.5				-0.2	-0.1	-0.2	-0.5	-0.2	-2.1	0.7	-0.8	0.3				0.99		0.99
ENSG00000259372	ENSG00000259372											2.8								
ENSG00000259374	NDUFB4P11									-0.9	-1.4							1.2		
ENSG00000259377	AC026770.1											1.1		0.99					-2.2	
ENSG00000259378	DCAF13P3									-2.6	-3.4	0.7		0.4			-0.1		-1.6	
ENSG00000259381	AC090695.2									-2.1	-3.2	-0.1		0.99					-0.5	
ENSG00000259389	H3P38									-2.7	-2.7			0.99					0.99	
ENSG00000259393	AC025918.2									4.3	2.4									
ENSG00000259396	AC087721.1									-1.3	0.5	3.6		0.99					0.99	
ENSG00000259397	AC021231.2									3.2	0.99			-0.8				0.99	0.3	
ENSG00000259398	AC090970.1									-2.9	-0.2			-0.3					0.99	
ENSG00000259402	AC090515.6									-1.9	-2.8	0.4		-0.5					0.99	
ENSG00000259405	ISCA1P4									-1.4	-1.1			-1.7					1.1	
ENSG00000259407	AC021739.2									-0.3	-1.3	-1.1		0.1			-0.3	-0.5	-2.1	
ENSG00000259408	AC010809.2									-1.2	-3.0	1.1		0.1					-3.8	
ENSG00000259415	AC012291.2									-2.1	0.9	0.4							0.99	
ENSG00000259416	AC021739.3									2.3	0.7	0.3		-0.4					-0.8	
ENSG00000259417	CTXND1	-1.1		0.6		0.99	0.99	0.99	-0.2	0.99	-0.7	-1.4	-0.6	0.99			-0.5	0.99	-0.2	0.4
ENSG00000259418	AC091117.3									-4.2	-4.2	0.9		1.0					0.99	
ENSG00000259423	AC113146.1											2.5							0.99	
ENSG00000259425	AC011767.1									2.2	0.99	2.0						-0.4	0.99	
ENSG00000259426	AC027237.5					0.99	-0.3	-0.3	0.3	0.4	1.8		-0.5	0.1			-0.4		0.99	0.99
ENSG00000259429	UBE2Q2P2									0.7	0.2	1.4		-0.8			-0.7		-0.2	
ENSG00000259430	CERS3-AS1											2.7							0.99	
ENSG00000259431	THTPA									-1.9	0.7	-0.4		0.1			-0.5	-0.3	-1.2	
ENSG00000259439	LINC01833	-0.5	0.3			0.99	-0.8	-0.7	-0.5	4.3	0.99	1.3	-1.1			0.2	-0.3			0.2
ENSG00000259442	AC105339.3									-2.6	2.6	1.6		-0.8				-0.6	-2.2	
ENSG00000259446	AC055874.1	-0.6				0.99	-0.1	-0.1	-0.1			-0.1	-1.0							0.2
ENSG00000259448	LINC02352					0.99	0.99	0.99	0.99	-3.5	-1.5	1.3	0.99	0.9				-0.2	-0.2	-0.3
ENSG00000259456	ADNP-AS1									1.5	1.8	1.0		-0.3			0.99	0.99	-2.5	
ENSG00000259462	CPEB1-AS1	-0.3				0.99	-0.1	0.99	0.99			1.3	-0.6			0.3			0.99	0.2
ENSG00000259463	AC020661.2									-0.6	-3.7	0.8		0.1					0.99	
ENSG00000259467	NDUFAF4P1									-2.5	1.2								-0.7	
ENSG00000259474	AC027228.1									-0.9	-2.2	-0.1							-1.2	
ENSG00000259475	AC036108.1									1.6	0.3	0.3		0.99					-0.8	
ENSG00000259479	SORD2P									-1.0	0.1	0.5		1.3			-0.4	0.3	3.2	
ENSG00000259488	AC023355.2									-2.2	1.2	1.1		0.3			-0.6		-1.0	
ENSG00000259493	AC023968.2																0.1		2.8	
ENSG00000259494	MRPL46									-1.7	1.5	0.4		0.7			-0.1	-0.5	-1.1	
ENSG00000259498	TPM1-AS									-5.4	-1.1	-0.4		-0.3					0.99	
ENSG00000259500	KRT8P24									2.1	2.6									
ENSG00000259504	AC026992.1									-2.4	-2.4	-0.2							0.99	
ENSG00000259508	AL132801.2									2.4	1.3	1.5								
ENSG00000259516	ANP32AP1											0.3		-0.3			0.3		1.3	
ENSG00000259520	AC051619.4											2.2		0.4					-2.3	
ENSG00000259521	INO80-AS1									0.99	-3.3	-0.8		0.4					0.99	
ENSG00000259522	AL136295.4									-1.6	1.5								0.99	
ENSG00000259523	AC022613.2									-2.2	2.0	0.8		-0.1			0.99			
ENSG00000259527	LINC00052	-0.3				0.99	-0.2	-0.3	-0.2	0.99	3.3	0.4	-0.3							0.99
ENSG00000259536	AC091045.2									-2.5	-0.1	0.6		-0.4				0.1	-1.3	
ENSG00000259540	AC027020.1					0.99	0.99	0.3	-0.1	-1.2	-2.0	-1.2	-0.7			-0.3			-3.5	0.2
ENSG00000259545	AC013452.2									-2.0	-1.6	2.7		0.99				0.99	0.99	
ENSG00000259547	CYCSP2									-0.9	1.0	0.9		1.3						
ENSG00000259548	AC021483.1									-2.7	-3.6	-0.7		0.99					0.99	
ENSG00000259554	AC084882.1											1.9								
ENSG00000259555	AC067863.1											2.0								
ENSG00000259556	AC090971.4									-1.7	-4.3	-1.5		0.4					-2.6	
ENSG00000259561	AC079075.1											2.4							0.99	
ENSG00000259562	AC090607.2									-0.5	0.9	2.5		0.7			-0.5		-1.1	
ENSG00000259563	AC025430.1									-1.0	-1.9	0.4		0.99					-1.2	
ENSG00000259571	BLID					0.2	-0.3	-0.2	0.99	0.1	-2.5	-0.8	0.99	-0.2	0.99					0.99
ENSG00000259575	AC012404.2											2.3								
ENSG00000259577	CERNA1		-0.3	0.7		-0.6	-0.8	-0.8	0.99	-1.9	-0.5	-0.3	-0.3	-0.5		-0.3			-1.1	0.99
ENSG00000259581	TYRO3P	-0.2				0.1	-0.2	0.99	-0.1	-1.4	-3.3	-0.1	-1.1	-0.6		0.99		0.1	-1.5	0.99
ENSG00000259583	AC015712.2									-3.0	-3.8	-0.3		0.8				0.1	0.99	
ENSG00000259590	LINC02244									1.4	0.99								-2.4	
ENSG00000259598	AC116158.2											-0.5							-4.6	
ENSG00000259612	EEF1A1P22									0.99	-0.1	2.0		-1.2			0.99	-0.3	-0.4	
ENSG00000259615	AC013391.1									-0.1	2.7	1.2								
ENSG00000259617	AC020661.3									-0.2	-2.0	1.1		0.2					0.99	
ENSG00000259618	ENSG00000259618									0.99	-1.1			0.99					-4.1	
ENSG00000259619	AC010867.1											-0.4							-2.2	
ENSG00000259623	AC125257.1									-1.5	-1.7	0.7		-1.0			0.4	-0.5	-1.6	
ENSG00000259630	AC104046.1									0.9	0.6	-1.1		-0.5					-2.0	
ENSG00000259632	AC090971.5									-1.4	-2.6	-1.5		0.4			0.99		0.99	
ENSG00000259635	AC100830.1									1.4	0.1			-1.6					-1.6	
ENSG00000259637	DNM1P38									1.3	2.6	0.2								
ENSG00000259642	ST20-AS1	-0.1	-0.9			-0.7	0.5	0.6	-0.1	-3.7	2.2	1.3	-0.1	-1.1		0.6	0.99	0.4	-0.4	0.99
ENSG00000259644	AC022613.3	0.7	0.5	0.5		0.99	0.3	0.1	0.99	-2.9	-2.9	-1.7	0.99	-0.2						0.2
ENSG00000259645	AC027237.6									-1.0	-3.2	-1.0		0.8						
ENSG00000259654	AC115102.1									1.0	-1.5	0.9		-0.5					-1.8	
ENSG00000259656	AC013452.3									3.2	1.2			-0.2					-1.1	
ENSG00000259657	PIGHP1									1.2	1.9	-1.7		-0.7				-0.3	-2.5	
ENSG00000259659	AC009996.1									-0.4	-1.6	0.1		-0.5					-1.3	
ENSG00000259663	AC010478.1									-1.6	-0.9	3.0		0.1						
ENSG00000259673	IQCH-AS1	-0.4	0.5			-0.3	0.99	0.99	0.2	-1.0	-1.8	-0.5	1.3	-0.4		-0.5	0.5	0.2	-2.1	0.99
ENSG00000259687	LINC01220					0.99	0.4	0.2	0.99	-3.4	0.1	2.3	-0.6	0.99			0.99	-0.4	0.99	-0.4
ENSG00000259699	HMGB1P8									-2.5	-2.5	-0.8		0.99			0.1		1.5	
ENSG00000259700	AC012379.2	-0.1				-0.3	-0.5	-0.4	-0.8	-4.2	-0.6	2.0	-0.5	0.99		0.3			0.99	
ENSG00000259704	AC124248.1											2.4							4.1	
ENSG00000259705	AC084757.3					-0.2	0.4	0.7	0.1	-1.7	-0.2	0.5	-0.2							
ENSG00000259709	AC023906.4									-2.4	-3.6	1.0		0.1					-3.1	
ENSG00000259712	AC023906.5									-1.1	-2.5	0.2		-0.8					-1.3	
ENSG00000259717	LINC00677									-1.4	2.3	1.2							0.99	
ENSG00000259721	AC090877.2									3.9	3.7	1.5								
ENSG00000259726	CSPG4P11											-1.7		0.99						
ENSG00000259727	AC103740.2	-0.5				0.99	1.2	1.0	0.99	0.3	2.6	-0.7	-0.8							0.99
ENSG00000259732	AC092757.2					0.99	0.2	0.3	0.3	-1.2	-0.5	2.1	0.99	-0.3				0.99	0.99	
ENSG00000259736	CRTC3-AS1									-1.9	-0.5	1.3		0.1			0.99	0.99	2.5	
ENSG00000259740	AC009558.2											3.2								
ENSG00000259744	AC009269.4									-3.0	-3.4	1.8		-2.4						
ENSG00000259746	HSPE1P3									-0.1	-2.4	0.1		0.99			0.3		-1.8	
ENSG00000259749	NCAPGP2									1.6	0.99			0.99			-0.3		2.1	
ENSG00000259751	AC018868.2									-1.3	-2.2	1.2		0.5					-1.9	
ENSG00000259755	AC090907.2											2.9							0.99	
ENSG00000259760	AC015660.2																	-0.1	-2.4	
ENSG00000259762	AC021739.5									1.8	-0.2	-0.7		0.99			0.99	0.99	0.1	
ENSG00000259764	PCSK6-AS1									-1.4	-2.6	1.8		0.99				-0.1		
ENSG00000259767	AC022558.1									-0.3	-1.8	0.3		0.9					-1.7	
ENSG00000259768	AC004943.2					0.3	1.2	1.1	0.9	0.99	-0.4	0.8	-0.8	-0.5			0.4	-0.4	1.6	0.99
ENSG00000259772	AC012236.1									-1.1	-0.8							-0.6	-0.7	
ENSG00000259775	AL138976.2	-0.2	-0.4			0.99	0.2	0.4	-1.4	-2.2	2.6	0.4	0.99	-0.6		-0.4	0.2		-0.6	-0.3
ENSG00000259781	HMGB1P6									0.8	-0.1			-0.1			0.1	0.3	1.2	
ENSG00000259786	LINC02109					-0.2	-0.1	0.99	0.99	-1.0	-2.6	-0.1	0.99			0.1				
ENSG00000259788	AL596325.1	-0.2				0.99	0.99	0.99	0.99	-3.7	1.2		0.99	0.99					0.99	0.3
ENSG00000259792	AC104758.1									-2.0	2.6	0.2							-2.3	
ENSG00000259798	AC138625.1											4.0								
ENSG00000259802	AC012640.4					0.1	0.99	0.99	0.5	-3.0	2.2	2.5	-2.0	0.5			0.4	-0.5	0.3	0.99
ENSG00000259803	SLC22A31					0.99	-0.2	-0.3	0.2	2.3	2.2	-2.6	-0.5		-0.6	0.99		-0.5	-0.3	0.1
ENSG00000259804	AC027682.1	0.2				0.99	0.1	0.1	0.99	-2.3	0.3	0.5	-0.7	-1.1			0.99	0.99	-0.2	0.99
ENSG00000259807	AC009093.1	0.3				0.99	-0.1	1.0	0.1			-0.7	0.99						0.99	0.3
ENSG00000259818	AL606760.3									0.3	3.1	2.3		-0.4					0.99	
ENSG00000259820	AC083843.3	1.2				0.99	0.2	0.1	0.99	-4.2	-6.8	-0.7	0.99	0.6			-0.7	-0.3	-3.0	0.2
ENSG00000259826	AC072061.1	-0.2				-0.1	0.99	-0.1	-0.5	-2.7	2.8	0.5	-0.5	0.1			-0.7	-0.7	-1.1	0.99
ENSG00000259828	AL355596.1									-0.4	0.99	1.3		1.5						
ENSG00000259831	LINC00567	-0.3				0.99	-0.1	-0.2	0.99	1.7	-0.8	3.3	0.99			0.99				0.2
ENSG00000259833	AC138625.2											2.4								
ENSG00000259834	AL365361.1											0.1							-5.4	
ENSG00000259838	ELOCP2									-1.1	0.1			0.3			-0.3	0.5	2.5	
ENSG00000259845	HERC2P10									1.6	0.99	2.0		-0.4				-0.4	-0.2	
ENSG00000259854	AP005233.1									2.8	5.2	-0.4								
ENSG00000259863	SH3RF3-AS1	-0.4				0.3	-0.2	0.2	0.99	0.5	1.4	-0.9	-0.4	-0.4		0.99	-0.8		-3.2	0.99
ENSG00000259865	AL390728.6	-0.6	0.3			-1.1	-0.2	-0.4	-1.8	0.4	-0.9	-0.2	2.9	0.6		-0.9	-0.6	-0.5	-3.0	0.7
ENSG00000259867	AC105411.1									1.6	1.8	0.2							0.99	
ENSG00000259868	AL163952.1	-0.1				-0.2	0.99	-0.1	-0.3	3.6	0.99	1.4	-0.6	0.99		0.4			0.2	0.99
ENSG00000259876	AC010333.1									1.5	-0.8	0.5		0.1					-2.6	
ENSG00000259877	AC009113.1	-0.2				-0.5	-0.2	-0.2	-1.0	-1.3	2.8	1.7	-0.5	-0.4		-0.8	0.1	0.2	-2.8	-0.2
ENSG00000259883	EHD4-AS1									-3.0	-2.3	-1.1		-0.4				-0.4	0.99	
ENSG00000259884	NR4A1AS									-1.8	0.4	-1.0							0.9	
ENSG00000259891	AC107375.1									0.2	0.99	1.1		0.5			-0.7	0.2	-1.4	
ENSG00000259895	AC106820.2	-0.2				0.2	-0.2	0.99	0.99	-2.3	-0.4	2.4	0.99	1.5			0.99	-0.8	0.99	0.99
ENSG00000259904	ACTG1P15									-1.6	-2.8	1.9							0.99	
ENSG00000259915	AC017071.1					0.3	-0.2	-0.3	0.99	0.3	-1.7	1.5	0.99	-0.6					-3.2	
ENSG00000259917	HNRNPLP2									0.8	0.6	1.2		-0.5			-0.1	0.7	1.2	
ENSG00000259920	AC007938.1									1.0	1.8	0.2		-0.1			0.7			
ENSG00000259921	AC022819.1									-1.6	-3.3			-0.9					0.99	
ENSG00000259922	AC023825.1									-2.5	-3.0	-1.1							-0.9	
ENSG00000259924	AC011939.1									-1.7	-1.9	-0.6		-1.1			0.2	-0.6	-2.6	
ENSG00000259926	AC007342.1									-0.8	-0.6	-0.2		-0.8					-1.9	
ENSG00000259932	AC051619.6									-2.0	-1.3	1.0		0.99				0.2	0.99	
ENSG00000259935	AC009754.1									-2.9	-3.4	0.5		-1.3					-2.8	
ENSG00000259940	AC109449.1					-0.2	-0.1	0.99	-1.0	-3.6	-2.0	-0.4	0.99	0.99	0.99				-2.4	0.1
ENSG00000259943	AL050341.2	0.5				-1.7	-0.4	-0.3	-2.2	-1.7	2.0	1.2	0.99	0.1		-0.8	0.2	0.99	0.99	-0.3
ENSG00000259952	AC009133.2	-0.4	-0.3			0.99	-0.2	0.99	-0.1				-1.3			-0.4				-0.5
ENSG00000259953	AL138756.1	-0.6	1.0			-1.3	-1.7	-1.4	0.99	0.9	0.6	0.8	1.2	-0.6		0.5	0.1	-0.9	-2.1	-0.8
ENSG00000259954	IL21R-AS1					0.99	0.3	0.3	0.99	1.4	0.2	3.5	-1.1						0.3	
ENSG00000259956	RBM15B	-0.4		1.0		-0.4	0.99	0.99	0.6	-1.0	1.2	0.2	0.99	-0.7			-0.1	0.2	-0.5	-0.4
ENSG00000259957	ENSG00000259957											3.8								
ENSG00000259959	AC107068.1	0.3	0.5			0.99	0.2	-0.3	0.7	-1.2	-1.7	0.2	2.9	-0.2		-0.5	0.5	-0.3	-3.8	-0.7
ENSG00000259963	AC007012.1											3.3								
ENSG00000259964	THSD4-AS1					0.99	0.99	0.99	0.99	2.2	-0.1	0.2	-0.4	0.4						0.2
ENSG00000259972	AC009120.2	0.8				0.99	0.9	0.7	0.99	-0.5	1.2	0.4	0.99	0.4			-1.0	-0.5	-1.7	0.6
ENSG00000259985	AC017100.1	-0.6				-1.0	0.8	1.1	-0.3	-1.5	-0.7	0.9	-0.9	0.7		0.1	-0.5	0.1	0.99	0.99
ENSG00000259994	AL353796.1	0.7				0.99	0.99	0.2	-0.8	0.6	-1.8	0.9	2.3	0.2		0.3	0.99		-0.6	
ENSG00000259999	AC009054.1									-1.6	-1.3	1.9		-0.4						
ENSG00000260000	AL133338.1									-4.4	0.7	-0.4		0.99			0.4	0.3	-0.4	
ENSG00000260001	TGFBR3L									-1.4	-0.9	1.6		-0.2					1.9	
ENSG00000260005	AC027601.2									-2.3	0.4	0.6		-0.5			-0.8	-0.1	-1.1	
ENSG00000260007	AC107871.1									-0.7	-1.8			-0.5			-0.6	-0.7	-2.0	
ENSG00000260008	AP001527.1					0.99	0.1	0.99	-0.1	-1.5	1.9	0.2	0.99							
ENSG00000260009	LINC02130									2.7	4.3									
ENSG00000260011	AC132938.2					0.99	-0.3	0.99	-0.6			2.5	0.99			0.99			-0.6	0.2
ENSG00000260017	AC138811.1									-0.6	1.6								0.99	
ENSG00000260018	AC040169.1	-0.3	-0.5			0.4	0.1	0.3	0.99	-1.4	3.5		-1.0	0.9		0.99	-0.5	0.99	-0.3	-0.4
ENSG00000260022	AL031716.1									-1.2	-1.2	0.1		-0.9					-1.4	
ENSG00000260025	CRIM1-DT	-0.5	-1.5			-0.8	0.99	-0.1	-0.7	1.0	2.3		-2.1	1.0		-0.5	0.2		0.99	0.1
ENSG00000260027	HOXB7		-0.5	0.1		-0.6	-0.8	-0.7	0.99	-0.2	0.99	0.7	-1.3		0.2	1.3			1.5	0.99
ENSG00000260032	NORAD	0.7	1.2			-0.2	-1.0	-1.2	-0.3	0.1	0.9	-0.3	3.2	-1.2			0.2	0.4	-1.4	0.3
ENSG00000260033	AC023813.2									-3.2	0.1	-0.3		-0.7					0.99	
ENSG00000260034	LCMT1-AS2	-0.4				0.99	0.99	0.1	-0.4	-4.5	-5.4	0.4	0.99	-1.6				-0.5	0.99	0.99
ENSG00000260035	AC051619.7									-1.5	-0.2			-1.9				0.4	0.99	
ENSG00000260036	AC013355.1													0.99					-2.1	
ENSG00000260037	AC104938.1									1.3	-0.2	0.2		0.99					-3.1	
ENSG00000260038	AC009090.1									-2.7	-0.5			-0.5					-2.0	
ENSG00000260051	AL031600.1									-0.6	-1.6	-0.9		0.1			-0.7	-0.4	-1.8	
ENSG00000260059	AC092620.2	-0.3				0.1	-0.2	-0.1	-0.2	-2.4	-2.8	0.1	0.99	-0.9				0.99	-3.0	0.99
ENSG00000260060	AC009088.1									-0.7	-0.3	-0.9		0.4				0.99	-2.4	
ENSG00000260063	AL512408.1	-0.9				0.99	0.3	0.4	-0.3	-3.1	0.3	1.1	0.99	0.1			0.99		-1.1	-0.5
ENSG00000260064	AC092332.1	0.1				0.99	-0.1	0.99	0.99	-0.5	-3.0	-0.1	-0.5						0.99	0.3
ENSG00000260066	AC112176.1					-0.2	0.99	0.99	-0.2			1.0	-0.7						-1.9	0.99
ENSG00000260075	NSFP1											-0.5						0.3	-1.7	
ENSG00000260078	AC007342.3									3.1	0.99	2.2							0.99	
ENSG00000260081	AF274858.1		-0.7			0.99	-0.3	-0.3	0.4	-1.4	-0.1		-1.7	1.2		0.99	-0.4	0.4	-1.9	-0.1
ENSG00000260083	MIR762HG									-2.2	1.3	0.4		0.6			-0.2	-0.2	-0.6	
ENSG00000260086	AC007611.1									0.6	-0.4	1.4					0.4		1.5	
ENSG00000260088	DDX59-AS1					0.99	-0.2	0.99	-0.3			1.9	0.8	-2.3		0.99			1.1	0.99
ENSG00000260093	AC034111.1					-0.3	0.99	0.2	0.99	-3.4	0.5	2.3	0.99	-0.5		0.99		-0.6	0.99	0.1
ENSG00000260095	AC106820.3					-0.1	0.1	0.99	0.1	0.1	-0.4	1.3	0.1	0.99		0.99	0.99		1.1	
ENSG00000260097	SPDYE6									0.2	0.1	1.0		-0.8				-0.6	-1.9	
ENSG00000260100	AL512604.4					0.99	-0.3	0.99	-0.4	-3.3	0.6		-0.5				0.99		0.99	0.3
ENSG00000260101	AC008074.2	0.8				0.99	-0.3	-0.1	-0.3	-1.8	1.7	1.5	-0.3	0.1		-0.4	0.99	0.2	1.7	1.8
ENSG00000260103	AC012435.2									1.6	2.2	1.3		0.5			0.99	-0.1	-0.6	
ENSG00000260112	AC008567.1									5.2	3.0	1.9							0.99	
